Country;Region;DataYear;ClassGrade;Gender;Ageyears;Handed;Height_cm;Footlength_cm;Armspan_cm;Languages_spoken;Travel_to_School;Travel_time_to_School;Reaction_time;Score_in_memory_game;Favourite_physical_activity;Importance_reducing_pollution;Importance_recycling_rubbish;Importance_conserving_water;Importance_saving_energy;Importance_owning_computer;Importance_Internet_access;Left_Footlength_cm;Longer_foot;Index_Fingerlength_mm;Ring_Fingerlength_mm;Longer_Finger_Lefthand;Birth_month;Favorite_Season;Allergies;Vegetarian;Favorite_Food;Beverage;Favorite_School_Subject;Sleep_Hours_Schoolnight;Sleep_Hours_Non_Schoolnight;Home_Occupants;Home_Internet_Access;Communication_With_Friends;Text_Messages_Sent_Yesterday;Text_Messages_Received_Yesterday;Hanging_Out_With_Friends_Hours;Talking_On_Phone_Hours;Doing_Homework_Hours;Doing_Things_With_Family_Hours;Outdoor_Activities_Hours;Video_Games_Hours;Social_Websites_Hours;Texting_Messaging_Hours;Computer_Use_Hours;Watching_TV_Hours;Paid_Work_Hours;Work_At_Home_Hours;Schoolwork_Pressure;Planned_Education_Level;Favorite_Music;Superpower;Preferred_Status;Role_Model_Type;Charity_Donation;;
USA;CA;2011;12;Female;16;Right-Handed;;;;1;Car;5;0.673;38;Dancing;0;700;700;;700;850;;Left foot;75;70;Index finger;January;Winter;Yes;No;Pizza/Pasta;Water;Art;6;10;4;Yes - other;Text messaging;5;7;5;3;20;15;3;1;6;2;12;3;0;2;A lot;Graduate degree;Gospel;Fly;Happy;Relative;Health;;
USA;CA;2020;12;Male;17;Right-Handed;177,8;24,13;170;2;Car;25min;0.366;48sec;Athletics;250;500;400;200;650;1000;24,13;Same length;70;75;Ring finger;May;Summer;No;Yes;Meat;Water;Other;7hrs;10hrs;5;Yes - other;Text messaging;A lot;A lot;72hrs;10hrs;4-6hr;48hrs;15hrs;100hr;2hrs;48hrs;100hr;48hr;15hrs;5hrs;None;Graduate degree;Rap/Hip hop;Telepathy;Healthy;Relative;Other;;
USA;CA;2013;12;Male;17;Right-Handed;178;26;170;2;Car;10;0.385;45;Running/Jogging;733;733;824;850;1000;1000;27;Left foot;85;90;Ring finger;August;Winter;Yes;No;Pizza/Pasta;Water;Computers and technology;5;10;4;Yes - broadband connection;Text messaging;150;150;5;0;10;5;10;10;5;2;15;0;0;0;Some;Graduate degree;Pop;Telepathy;Happy;Business person;International aid;;
USA;CA;2017;7;Female;13;Left-Handed;150;21;156,5;2;Bus;35;0.459;35;Dancing;1000;1000;850;900;0;200;20;Right foot;71;66;Index finger;October;Winter;Yes;No;Rice/Noodle dishes;Tea;Science;5;9;4;Yes - broadband connection;In person;2;6;9;1.5;3;1.5;2;1.5;0;1.5;4;1.5;0;1;Some;Graduate degree;Pop;Invisibility;Healthy;Teacher;Wildlife, animals;;
USA;CA;2022;12;Female;17;Right-Handed;162;23;161;1;Walk;12;.373;29;Walking/Hiking;900;700;800;900;500;700;23;Same length;76;76;Same length;June;Fall;No;No;No favorite;Water;Social studies;8;8;4;Yes - other;Text messaging;5;5;8;1;4;14;9;0;15;1;20;5;12;3;Some;Undergraduate degree;Jazz;Telepathy;Happy;Relative;Environment;;
USA;CA;2017;12;Female;17;Right-Handed;165;24;156;2;Walk;20;0.377;35;Walking/Hiking;500;1000;200;200;700;1000;25;Left foot;70;60;Index finger;December;Spring;No;No;No favorite;Water;Mathematics and statistics;6;8;6;Yes - broadband connection;Cell phone;20;40;50;8;25;10;1;0;7;2;6;5;0;5;A lot;Graduate degree;Pop;Fly;Rich;Community leader or elder;Education/Youth development;;
USA;CA;2015;6;Male;11;Right-Handed;150;5;154;2;Car;10;1;49;Cycling;500;999;800;900;600;950;8;Left foot;60;60;Ring finger;July;Summer;No;No;Rice/Noodle dishes;Water;Computers and technology;7;6;7;Yes - other;In person;0;0;0;0;5;3;0;2;1;0;1;3;0;2;A lot;High school;Pop;Freeze time;Happy;Relative;Education/Youth development;;
USA;CA;2013;6;Female;11;Right-Handed;154;17;154;1;Car;10;.328;35;Martial Arts;1000;578;545;631;701;578;23;Same length;6;7;Ring finger;June;Spring;Yes;No;Seafood;Water;Mathematics and statistics;8;8;3;Yes - broadband connection;In person;0;0;7;0;8;7;10;2;0;0;0;1;0;1;Some;Graduate degree;Rock and roll;Fly;Happy;Other;Religious;;
USA;CA;2012;12;Male;17;Right-Handed;66;23;127;2;Walk;15;.53;41;Other;800;800;950;1000;1000;1000;23;Same length;75;84;Ring finger;September;Summer;No;No;Rice/Noodle dishes;Tea;Mathematics and statistics;6;10;3;Yes - broadband connection;Internet chat or instant messaging;10;13;15;5;12;5;13;16;20;20;24;0;0;8;Some;Undergraduate degree;Other;Invisibility;Happy;Relative;Other;;
USA;CA;2017;7;Female;12;Right-Handed;164;23;164;1;Car;5;0.356;30;None;497;219;219;439;519;519;22;Right foot;8;7;Index finger;July;Spring;No;No;Pizza/Pasta;Juice;Social studies;7;10;4;Yes - other;In person;5;6;3;0;1;5;0;12;2;1;15;1;0;0;A lot;Graduate degree;Other;Telepathy;Rich;Other;Wildlife, animals;;
USA;CA;2016;12;Female;17;Right-Handed;155;22;154;2;Car;15;0.34;4.95;Walking/Hiking;950;900;1000;600;800;850;22.3;Left foot;60;66;Ring finger;August;Fall;Yes;No;Pizza/Pasta;Water;Art;6.5;8;5;Yes - broadband connection;In person;20;20;4;.5;14;20;0;0;6;3;10;2;0;2;A lot;Undergraduate degree;Punk rock;Telepathy;Happy;Actor;International aid;;
USA;CA;2019;9;Female;14;Right-Handed;158;24;160;2;Car;15;0.268;30;Athletics;1000;600;800;800;100;600;24;Same length;87;72;Index finger;July;Fall;No;No;Fruit;Water;Science;4;10;4;Yes - broadband connection;In person;250;275;15;21;23;14;16;1;4;17;30;1;0;8;A lot;Graduate degree;Pop;Telepathy;Happy;Relative;Education/Youth development;;
USA;CA;2024;12;Male;17;Right-Handed;177,8;26.6;;1;Car;10;.36;58;Football (American);1000;1000;1000;500;500;1000;25;Right foot;110;90;Ring finger;August;Summer;Yes;No;Meat;Water;History;7;9;4;Yes - other;Cell phone;110;160;5;5;5;5;5;5;5;5;5;5;5;5;A lot;Undergraduate degree;Rap/Hip hop;Fly;Happy;Business person;International aid;;
USA;CA;2018;12;Female;16;Right-Handed;151;22;147;1;Car;10;0.389;32;Dancing;930;930;920;904;310;460;22;Same length;78;66;Index finger;October;Winter;No;No;Fruit;Water;Other;4;9;5;Yes - broadband connection;In person;8;30;5;2;30;20;14;0;2;2;5;7;0;1;A lot;Other;Pop;Fly;Happy;Relative;Education/Youth development;;
USA;CA;2019;11;Male;16;Right-Handed;173;25.4;176;1;Car;5;.3;86;Baseball/Softball;750;250;750;750;250;750;25;Right foot;;;Ring finger;June;Fall;No;No;Pizza/Pasta;Coffee;Science;6;9;5;Yes - dial-up connection;Text messaging;a lot;a lot;24;5;2;40;50;5;20;15;0;5;16;5;None;High school;Pop;Invisibility;Rich;Sports person;Health;;
USA;CA;2013;12;Female;18;Right-Handed;163,5;21.5;146;2;Car;5;0.644;43;Tennis;600;600;700;500;1000;1000;21;Right foot;70;65;Index finger;September;Summer;No;No;Soups;Water;Mathematics and statistics;8;8;3;Yes - broadband connection;In person;5;10;10;5;30;8;5;0;5;10;15;0;0;1;Very little;Graduate degree;Pop;Freeze time;Rich;Musician or singer;Health;;
USA;CA;2018;12;Female;17;Right-Handed;143;24;141;1;Car;6;0.298;41;Other;900;700;1000;500;1000;1000;23.5;Right foot;69;70;Ring finger;January;Summer;Yes;No;Poultry;Water;Mathematics and statistics;4;9;3;Yes - other;Other;5;10;50;30;5;5;10;5;20;5;30;5;10;5;Some;Undergraduate degree;Rap/Hip hop;Telepathy;Healthy;Actor;Health;;
USA;CA;2013;12;Male;17;Right-Handed;160;23.5;58;2;Walk;15;0.365;48;Basketball;900;800;1000;800;500;500;23.5;Same length;7.5;8.5;Ring finger;July;Winter;No;No;Meat;Water;English;7;9;4;Yes - dial-up connection;Text messaging;100;120;40;5;30;10;10;5;10;35;20;10;0;4;Some;Graduate degree;Pop;Super strength;Happy;Religious figure;Religious;;
USA;CA;2016;11;Female;17;Right-Handed;168;27;175;1;Bus;49;0.413;60;Walking/Hiking;600;600;900;600;600;600;28;Left foot;80;83;Ring finger;July;Spring;Yes;No;Seafood;Water;Mathematics and statistics;7;10;5;Yes - other;In person;30;25;50;50;10;15;30;0;30;80;60;5;30;10;A lot;Graduate degree;Rhythm and blues (R&B);Fly;Happy;Relative;International aid;;
USA;CA;2016;11;Male;17;Right-Handed;170,2;22;134;3;Bus;25;0.34;38;Martial Arts;1000;813;1000;1000;535;535;22;Same length;80;80;Same length;April;Winter;No;No;Vegetables;Water;History;7.5;8.5;4;Yes - broadband connection;Internet chat or instant messaging;50;50;5;1;10;4;6;2;8;3;5;1;0;3;A lot;Graduate degree;Rap/Hip hop;Super strength;Happy;Sports person;Arts, culture, sports;;
USA;CA;2017;12;Male;17;Right-Handed;164,5;24;174;2;Car;10;0.355;37;Walking/Hiking;1000;1000;1000;1000;1000;1000;24;Same length;70;70;Same length;December;Winter;No;No;Pizza/Pasta;Water;Art;8;7;9;Yes - broadband connection;In person;0;0;0;0;3;1;0;10;1;0;10;1;0;1;Very little;Graduate degree;Techno/Electronic;Freeze time;Rich;Friend;Wildlife, animals;;
USA;CA;2015;6;Female;12;Right-Handed;160;26;166;1;Car;15;54;51;Baseball/Softball;900;999;1000;700;400;600;26;Right foot;7;7;Same length;February;Winter;Yes;;No favorite;Soft drink (non-caffeinated);History;8;6;4;Yes - other;Text messaging;60;60;30;2;5;7;10;0;25;25;25;10;0;2;Very little;Undergraduate degree;Pop;Telepathy;Rich;Friend;Health;;
USA;CA;2020;12;Male;17;Right-Handed;164,5;24.13;156;1;Car;15;.327;39;Soccer;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
USA;CA;2014;12;Female;17;Right-Handed;165;25;135;1;Car;10;.793;47;Lacrosse;300;300;300;300;1000;1000;25;Same length;80;73;Index finger;March;Spring;No;No;Salads;Juice;History;7;10;5;Yes - broadband connection;Text messaging;100;100;18;2;15;5;8;0;2;5;10;5;0;8;;;;;;;;;
USA;CA;2016;11;Female;16;Right-Handed;160;22;158;2;Car;15;0.432;50;Walking/Hiking;600;700;1000;700;800;900;22;Same length;75;75;Same length;June;Summer;No;No;Seafood;Soft drink (caffeinated);English;7;12;4;No internet connection;Text messaging;250;200;6;3;2;9;3;0;10;20;20;20;0;15;A lot;Undergraduate degree;Rap/Hip hop;;Happy;Musician or singer;International aid;;
USA;CA;2014;11;Male;16;Right-Handed;173;25;169;1;Car;15;.338;39;Soccer;898;925;1000;701;620;802;25;Same length;97;92;Index finger;October;Fall;Yes;No;Rice/Noodle dishes;Water;Geography;6;11;4;Yes - broadband connection;In person;20;19;8;.5;13;2;7;0;2.5;1;2.5;3;0;7;A lot;Graduate degree;Other;Freeze time;Happy;Relative;International aid;;
USA;CA;2017;10;Male;16;Right-Handed;165;30;135;2;Walk;20; .356;40;Walking/Hiking;930;866;968;610;503;706;30;Same length;7;6;Index finger;March;Fall;No;No;No favorite;Water;Music;5;7;5;Yes - other;In person;105;110;35;2;5;120;20;18;100;20;110;30;0;30;Some;Graduate degree;Other;Freeze time;Happy;Friend;Wildlife, animals;;
USA;CA;2017;9;Female;14;Right-Handed;60;25.5;143;3;Car;15;0.5;82;Athletics;1000;1000;1000;1000;1000;1000;25.5;Same length;70;65;Index finger;December;Winter;No;No;Pizza/Pasta;Water;Languages;8;12;3;Yes - broadband connection;Text messaging;25;25;5;3;6;12;5;8;0;6;6;6;0;4;Some;Graduate degree;Pop;Telepathy;Rich;Actor;International aid;;
USA;CA;2020;7;Male;13;Right-Handed;170,69;40;40;2;Bus;30;1;2;Soccer;1000;1000;1000;1000;1000;99999;40;Same length;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
USA;CA;2020;12;Female;17;Right-Handed;174;25;173;2;Car;7;.405;48;Swimming;1000;1000;1000;1000;700;800;25;Left foot;;;Ring finger;January;Winter;No;Yes;Fruit;Water;Science;9;8;4;Yes - broadband connection;Cell phone;10;200;10;2;4;15;5;3;2;1;4;2;20;1;A lot;Graduate degree;Rock and roll;Invisibility;Happy;Friend;Environment;;
USA;CA;2020;12;Male;16;Right-Handed;169;23;170;2;Bus;16;0.432;58;Walking/Hiking;374;417;594;396;594;806;23;Right foot;;75;Ring finger;November;Fall;No;No;No favorite;Water;Other;6;9;3;Yes - other;Internet chat or instant messaging;7;7;0;0;2;2;0;4;12;1;39;0;0;2;Some;Undergraduate degree;Pop;Freeze time;Rich;Other;Education/Youth development;;
USA;CA;2015;12;Female;17;Right-Handed;157,5;30;40;2;Car;10;0.419;52;Walking/Hiking;866;872;663;503;636;807;29;Right foot;17;19;Ring finger;December;Winter;No;No;Poultry;Juice;Science;6;8;6;Yes - other;Text messaging;40;40;10;14;5;5;7;0;84;35;70;21;0;14;Very little;Graduate degree;Rap/Hip hop;Telepathy;Rich;Doctor or nurse;Health;;
USA;CA;2016;12;Male;17;Right-Handed;180;25;182;2;Car;10;.036;53;Basketball;40;60;100;90;50;80;24;Right foot;19;17;Index finger;October;Winter;Yes;No;Meat;Juice;Physical education;6.5;9;2;Yes - broadband connection;Text messaging;3;2;7;0;10;2;4;.5;3;1;2;1;0;2;Some;Graduate degree;Rhythm and blues (R&B);Super strength;Healthy;Sports person;Religious;;
USA;CA;2020;12;Female;17;Right-Handed;167,6;20.3;165;2;Walk;10;0.103;40;Other;700;700;600;800;600;900;20;Right foot;6.5;7;Ring finger;April;Spring;No;No;Pizza/Pasta;Water;Science;7;9;4;Yes - broadband connection;Myspace, Facebook, other social networking sites, or blog;6;5;1;0;4;6;1;1;2;1;8;5;0;1;Some;Graduate degree;Pop;Fly;Happy;Relative;International aid;;
USA;CA;2016;12;Female;17;Right-Handed;167;23;165;1;Rail (Train/Tram/Subway);40;0.467;36;Walking/Hiking;800;800;700;700;800;800;22.5;Right foot;12;14;Ring finger;December;Summer;No;No;Fruit;Water;Art;2;10;5;Yes - broadband connection;Text messaging;5;20;5;7;4;2;1;0;2;2;2;1;0;1;A lot;Undergraduate degree;Rhythm and blues (R&B);Freeze time;Happy;Friend;Education/Youth development;;
USA;CA;2014;12;Female;17;Right-Handed;156;24;150;2;Car;10;1.014;65;Walking/Hiking;1000;800;500;850;500;950;24;Same length;750;800;Ring finger;August;Summer;No;No;Pizza/Pasta;Juice;Art;8;10;4;Yes - broadband connection;Text messaging;100;100;10;1;2;30;1;0;5;5;69;5;5;0;Some;Graduate degree;Punk rock;Telepathy;Rich;Relative;Environment;;
USA;CA;2019;12;Male;17;Right-Handed;180;27.5;180;1;Bus;30;.297;39;Basketball;818;540;674;802;460;1000;27;Right foot;77;80;Ring finger;March;Spring;No;No;Seafood;Water;Mathematics and statistics;8;5;3;Yes - broadband connection;Internet chat or instant messaging;12;8;3;1;5;3;3;2;3;3;3;3;0;0;Some;Graduate degree;Rap/Hip hop;Invisibility;Happy;Other;Environment;;
USA;CA;2021;11;Male;17;Right-Handed;160;25;162;1;Car;15;0.55;53;Cycling;1000;1000;1000;1000;1000;1000;25;Same length;8.5;9;Ring finger;October;Winter;No;No;Meat;Water;History;9;11;6;Yes - broadband connection;Myspace, Facebook, other social networking sites, or blog;50;80;0;5;1;3;1;4;2;2;2;3;0;2;Some;Graduate degree;Rap/Hip hop;Invisibility;Rich;Sports person;Health;;
USA;CA;2015;12;Female;16;Right-Handed;160;23;162;2;Car;8;0.413;38;Dancing;900;800;850;900;700;850;23;Same length;75;78;Ring finger;December;Winter;Yes;No;Poultry;Juice;Art;7;10;7;Yes - broadband connection;In person;10;11;9;0;30;3;2;1;14;28;36;42;0;1;A lot;Other;Pop;Fly;Happy;Relative;Health;;
USA;CA;2020;12;Male;17;Right-Handed;168;25;167;2;Car;10;0.126;37;Martial Arts;1000;1000;1000;1000;1000;1000;25;Same length;80;83;Ring finger;March;Winter;No;No;Meat;Water;Computers and technology;5;10;2;Yes - broadband connection;Internet chat or instant messaging;0;3;40;8;20;20;30;40;10;10;40;30;0;14;Some;Graduate degree;Other;Freeze time;Happy;Relative;Environment;;
USA;CA;2016;12;Female;17;Right-Handed;167;22;150;4;Bus;35;.433;47;Running/Jogging;750;500;800;700;900;950;22;Same length;65;64;Index finger;April;Winter;No;No;Fruit;Water;Science;8;10;5;Yes - other;Internet chat or instant messaging;0;0;0;0;28;0;0;0;0;7;10;0;0;2;;Graduate degree;Other;Freeze time;Happy;Other;International aid;;
USA;CA;2022;12;Female;17;Right-Handed;155;22;61;2;Bus;15;.63;76;Dancing;476;455;465;492;979;1000;22;Same length;7;7;Ring finger;October;Fall;Yes;No;Other;Water;Social studies;5.5;10;4;Yes - broadband connection;In person;30;50;65;4;8;8;0;0;0;2;90;0;0;3;A lot;Other;Rap/Hip hop;Invisibility;Rich;Relative;Wildlife, animals;;
USA;CA;2017;11;Male;17;Right-Handed;167;27.30;170;2;Car;11;0.38;41;Soccer;1000;760;1000;670;600;890;26;Right foot;70;70.5;Ring finger;May;Winter;No;No;Pizza/Pasta;Soft drink (caffeinated);Computers and technology;9;5;4;Yes - broadband connection;In person;20;50;4;3;2;20;2;6;4;1;1;1;0;0;Some;Graduate degree;Other;Fly;Rich;Other;Environment;;
USA;CA;2018;12;Male;18;Right-Handed;182,8;28.5;190;2;Car;13;.48;41;Athletics;0;0;0;0;300;1000;28.5;Same length;75;70;Index finger;March;Spring;Yes;No;Meat;Juice;Mathematics and statistics;7.5;9;3;Yes - other;Text messaging;62;178;3;1;4;8;2;2;4;2;1;3;0;0;Some;Graduate degree;Rap/Hip hop;Fly;Rich;Relative;Education/Youth development;;
USA;CA;2018;12;Female;16;Right-Handed;123;21.5;123;1;Car;56;.42;31;Swimming;1000;727;1000;1000;463;429;22;Left foot;64;70;Ring finger;January;Spring;Yes;No;Soups;Water;Other;6;11;3;Yes - broadband connection;Text messaging;20;18;10;1;8;16;8;1;5;4;9;8;5;5;Some;Other;Pop;Telepathy;Happy;Relative;Wildlife, animals;;
USA;CA;2016;12;Male;16;Right-Handed;173,7;23.3;168;1;Walk;7;.41;47;Baseball/Softball;588;690;872;337;0;519;23.1;Right foot;7.1;7.1;Same length;October;Fall;Yes;No;Meat;Water;History;8;9;2;Yes - broadband connection;Text messaging;5;6;12;0;13;8;5;3;14;2;5;8;0;6;Some;Graduate degree;Rock and roll;Fly;Happy;Sports person;Health;;
USA;CA;2011;7;Female;13;Left-Handed;168;27;168;1;Bus;60;0.359;48;Basketball;1000;1000;1000;;0;0;29;Left foot;80;80;Same length;February;Spring;Yes;No;Meat;Water;English;8;10;3;Yes - other;Cell phone;200;210;88;7;14;7;12;1;3;14;7;14;0;0;A lot;Graduate degree;Pop;Telepathy;Healthy;Relative;Wildlife, animals;;
USA;CA;2011;12;Female;17;Left-Handed;156;25;156;2;Car;10;0.407;55;Other;900;850;1000;;800;1000;26;Same length;79;81;Ring finger;January;Winter;Yes;No;Pizza/Pasta;Water;Art;8;10;5;Yes - broadband connection;In person;75;75;12;.5;12;8;5;1;10;12;14;6;0;5;Some;Graduate degree;Pop;Telepathy;Happy;Actor;International aid;;
USA;CA;2011;12;Male;17;Right-Handed;187,9;33.0;195,7;1;Car;6;.47;58;Cycling;800;700;400;;500;700;33.0;Same length;17;18;Ring finger;April;Winter;No;No;Poultry;Water;Physical education;8;9;4;Yes - broadband connection;In person;6;11;6;1;8;5;10;8;20;2;20;15;7;4;None;;;;;;;;
USA;CA;2015;11;Male;15;Right-Handed;185;29.22;194,4;2;Bus;8;.4;53;Football (American);1000;500;1000;1000;700;500;29.2;Same length;10.5;9.2;Ring finger;November;Fall;Yes;No;No favorite;Water;Science;6;7;5;Yes - broadband connection;Text messaging;50;100;20;1;3;1;9;0;10;4;3;0;8;1;None;Graduate degree;Rap/Hip hop;Fly;Happy;Other;Education/Youth development;;
USA;CA;2022;12;Male;18;Right-Handed;179;27;150;2;Car;9;0.473;44;Athletics;1000;1000;455;1000;1000;1000;26;Right foot;87;88;Ring finger;July;Winter;No;No;Meat;Juice;Science;8;8;4;Yes - broadband connection;Internet chat or instant messaging;337;341;10;1;10;1;15;2;5;2;70;2;0;1;A lot;Graduate degree;Rock and roll;Freeze time;Happy;Relative;Religious;;
USA;CA;2015;5;Male;10;Right-Handed;153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
USA;CA;2010;12;Male;17;Right-Handed;190;;30;3;Car;20;.145;7;Swimming;1000;1000;1000;;0;0;30;Same length;102;102;Same length;March;Summer;Yes;No;Rice/Noodle dishes;Water;Science;6;10;6;No internet connection;In person;0;0;1;.1;50;22;18;6;.01;.001;3;0;0;1;A lot;Other;Classical;Freeze time;Healthy;Relative;Education/Youth development;;
USA;CA;2021;12;Female;16;Right-Handed;155;23;156;3;Walk;2;0.5;39;Other;882;337;743;187;824;1000;23;Same length;75;79;Ring finger;November;Fall;No;No;Rice/Noodle dishes;Tea;Music;7;9;2;Yes - broadband connection;Internet chat or instant messaging;250;250;5;2;2;5;2;2;7;7;7;3;0;2;A lot;Graduate degree;Pop;Telepathy;Rich;Business person;Education/Youth development;;
USA;CA;2021;12;Male;17;Right-Handed;174;26;186;2;Car;5;0.34;80;Basketball;829;674;695;754;615;604;26;Same length;80;90;;April;Fall;No;No;Seafood;Water;Computers and technology;7;8;4;Yes - broadband connection;Text messaging;10;10;2;;;;;;;;;;;;;;;;;;;;
USA;CA;2015;8;Female;12;Right-Handed;157,4;25.1;157,4;2;Car;25;.4333;41;Soccer;888;781;10000;203;10000;642;25;Right foot;800;798;Index finger;April;Summer;Yes;No;Rice/Noodle dishes;Coffee;Mathematics and statistics;5;10;5;Yes - other;Internet chat or instant messaging;100;120;3;;;;;;;;;;;;;;;;;;;;
USA;CA;2013;12;Female;18;Right-Handed;150,5;25;150,5;1;Car;10;0.322;28;Baseball/Softball;20;20;20;10;999;1000;21;Same length;5.5;5.5;Same length;March;Fall;No;No;Meat;Milk;Art;6;12;4;Yes - other;Text messaging;5;5;4;1;10;54;10;1;5;2;54;60;8;1;Some;Graduate degree;Rock and roll;Telepathy;Happy;Relative;Health;;
USA;CA;2021;12;Male;17;Right-Handed;152,7;27;175;2;Car;15;1.666;46;Soccer;781;800;850;800;500;800;27;Left foot;10;8;Same length;January;Winter;Yes;No;Meat;Juice;Science;7;9;3;Yes - dial-up connection;Cell phone;10;20;2;4;5;100;10;5;5;7;5;5;0;6;A lot;High school;Other;Telepathy;Rich;Sports person;Health;;
USA;CA;2014;10;Female;16;Right-Handed;160;55;64;1;Car;9;50;32;Martial Arts;6;6;6;6;8;8;64;Same length;64;23;Index finger;January;Summer;No;No;Breads/Sandwiches;Tea;Art;5;7;4;;;;;;;;;;;;;;;;;;;;;;;;;
USA;CA;2023;10;Female;15;Right-Handed;154;;;2;Car;5;;1.28;None;10;10;10;10;5;10;;Same length;;;;October;Fall;Yes;No;No favorite;Water;Science;7;11;8;Yes - broadband connection;Text messaging;a lot;a lot;0;30;5;3;0;0;24+;24+;24;;;;;;;;;;;;
USA;CA;2012;7;Male;13;Right-Handed;149;24;145;1;Rail (Train/Tram/Subway);60;.47;50;Dancing;585;610;1000;0;1000;1000;23;Right foot;65;60;Index finger;December;Summer;No;No;Pizza/Pasta;Milk;Physical education;6;8;6;Yes - broadband connection;Text messaging;72;83;10;0;10;0;6;0;1;2;1;3;2;2;A lot;Undergraduate degree;Other;Freeze time;Famous;Musician or singer;Arts, culture, sports;;
USA;CA;2018;8;Male;14;Ambidextrous;194;32;191;2;Car;15;0.262;42;Soccer;700;800;600;500;200;800;32;Same length;105;110;Ring finger;April;Summer;Yes;No;Other;Other;Other;4;3;4;Yes - other;In person;0;32;35;4;13;16;29;30;4;5;5;10;15;10;None;Less than high school;Other;Fly;Rich;Other;Other;;
USA;CA;2019;9;Female;14;Right-Handed;59;25;163;2;Walk;10;0.408;58;Soccer;679;631;556;460;86;845;24;Same length;76;73;Index finger;June;Summer;No;No;Desserts;Water;Physical education;9hour;10;7;Yes - dial-up connection;Text messaging;3;4;0;2;1;133;144;;;;;;;;;;;;;;;;
USA;CA;2021;12;Male;17;Right-Handed;183;25;178;1;Car;5;0.112;37;Basketball;1000;963;1000;968;626;941;25;Same length;;;;December;Winter;No;No;Pizza/Pasta;Water;Art;7;10;4;Yes - broadband connection;Text messaging;30;40;6;8;10;15;4;35;14;4;30;2;0;1;A lot;Graduate degree;Rap/Hip hop;Freeze time;Rich;Relative;Health;;
USA;CA;2013;12;Male;17;Right-Handed;179;24;184;1;Car;28;.342;35;Basketball;200;100;40;400;900;900;24;Left foot;75;74;Index finger;November;Winter;No;No;Rice/Noodle dishes;Juice;Mathematics and statistics;8;8;3;Yes - broadband connection;Text messaging;100;100;60;2;20;10;5;0;28;20;28;15;0;2;A lot;Undergraduate degree;Rap/Hip hop;Freeze time;Famous;Relative;Education/Youth development;;
USA;CA;2012;12;Male;18;Right-Handed;178;26;180;2;Car;15;0.351;;Bowling;695;524;203;123;807;995;26;Same length;76;78;Ring finger;October;Winter;Yes;No;Meat;Soft drink (caffeinated);Languages;6;10;3;Yes - broadband connection;Internet chat or instant messaging;3;4;45;1;9;6;5;20;9;27;55;5;0;5;Some;Some college;Techno/Electronic;Freeze time;Happy;Actor;Health;;
USA;CA;2020;12;Female;17;Right-Handed;165;20.32;165,5;2;Bus;10;0.694;40;Dancing;1000;1000;1000;1000;100;100;;Same length;7;7.5;Ring finger;August;Fall;No;No;Pizza/Pasta;Water;English;7;9;4;Yes - broadband connection;Internet chat or instant messaging;100;?;5;0;4;10;0;0;31;;61;0;0;4;Some;Undergraduate degree;Other;Fly;Happy;Relative;Environment;;
USA;CA;2019;12;Female;17;Right-Handed;173;26;168;2;Car;25;0.392;34;Dancing;1000;1000;1000;1000;850;950;26;Same length;80;70;Index finger;September;Fall;No;No;Pizza/Pasta;Water;Science;5.5;9;4;Yes - broadband connection;Myspace, Facebook, other social networking sites, or blog;80;100;15;10;20;6;1;0;15;2;35;2;0;2;A lot;Graduate degree;Pop;Freeze time;Rich;Coach or club leader;Health;;
USA;CA;2021;11;Female;17;Right-Handed;162,5;15.24;0,177;2;Bus;25;0.792;56;None;n/a;1000;n/a;n/a;1000;1000;15.24;Same length;6;17.3;Index finger;April;Winter;No;No;No favorite;Water;History;8;10;2;Yes - broadband connection;Myspace, Facebook, other social networking sites, or blog;n/a;n/a;30min;no;1hr;3hr;no;no;24hrs;n/a;n/a;no;no;no;Some;Some college;Other;Invisibility;Healthy;Musician or singer;Health;;
USA;CA;2019;7;Male;12;Right-Handed;158;25;158;2;Walk;14;0.416;38;Other;679;861;620;856;551;801;24;Right foot;7;8;Ring finger;February;Summer;Yes;No;Rice/Noodle dishes;Milk;Physical education;8.5;10;4;Yes - dial-up connection;Internet chat or instant messaging;7;11;12;2;2;3;15;8;7;3;4;23;2;1;Some;High school;Other;Invisibility;Happy;Business person;Arts, culture, sports;;
USA;CA;2016;12;Male;17;Right-Handed;175;27;174;2;Walk;3;.774;27;Soccer;1000;1000;1000;1000;1000;1000;27;Same length;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
USA;CA;2016;12;Female;17;Right-Handed;155;18;155;1;Car;8;0.359;0.359;None;100;200;550;800;850;1000;18;Same length;47.5;49;Ring finger;April;Winter;Yes;No;Meat;Water;Mathematics and statistics;7;8;4;Yes - broadband connection;Text messaging;10;5;6;1;4;5;0;1;7;4;12;4;0;3;Some;Graduate degree;Pop;Invisibility;Healthy;Doctor or nurse;International aid;;
